Solana Address,Transaction Quantity,Quantity of Coins Held
HfVQ8KcbiKfk1ocKuC6zhfj4bmjt4ch8pnWtZNY3xECs,1,0
8UgoPZAR8ZLoEmV6pJ8SZ6JKESP2X8nbnrZSdSgNtg1y,1,0
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,1,562.249109
3CnoCbNNMia71gs8pcdGbL7CdUzA4h1w7NZfM49L73xf,1,0.388805
B6wXFbUepbb4V9QSgzQjPS2zLdkvbrqSpbfMks9vfczq,1,9.999
5WsxPYUr4u6zp9PMjJutaYbKxKjtCB8K2CzL9k8axcJy,1,0
7mB9kmAed6ff1mBTKU6BhySsyvZHWX5VuaKu39xFgAcM,1,0
8KYarp4NtfnkAuEdszx5tVAS7RWmauaa7BnZBsHwQxgM,1,2.597665
HePJ75CF5JRa2xpxiaaNbuAuBbjedfByxiiERXnxv85R,1,0
8nnMneo1iDUezz9oisQmqHyvjo6mT7ZPR8vKVBAYEiXb,1,148.745132
5pmGZMqpH3SHKqw8MDrWBHR3iXVobjCiuAYPqeDC9ZRG,1,2.590099
7imnGYfCovXjMWKdbQvETFVMe72MQDX4S5zW4GFxMJME,2,642212.912064
HxRz7pwcVBvcf9FyrpzZTdt6RAiyNUBtr5d7GupmS5gx,2,0
CAPhoEse9xEH95XmdnJjYrZdNCA8xfUWdy3aWymHa1Vj,2,1571126.153128
YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,2,166614.958007
4BXpSHpJa6EbgQgGWV8bQVw9t1VijGXBXzYY8m6v969V,2,0
BWBHrYqfcjAh5dSiRwzPnY4656cApXVXmkeDmAfwBKQG,2,183477.707189
4Fko2pKXUcN5jBp2Rnf8ouh95FarjVUdPM37VcJk5dKd,2,5220
3TgFFgqgaftEYzxPEB31BvUPadnukQozTtinVYxXcukp,2,0
AxHocY4moH8roYQXMQWqoehtW5piMtTJQYmfL4wQ83D8,2,168577.661347
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,2,0
4ynTYgJK5ruYx3AZMRjCHrJk1qkm61fePF7dkbvRQD46,2,155386.355854
4vze8f7QwoWbf2tQN4rtVu83UaSMfVykDYEpFwNxYd65,2,32515.112078
3LjWuApmPhS24BggSscXsdH4URFqiBTRZwPzuxDvfZGd,2,0.179679
2uF4Xh61rDwxnG9woyxsVQP7zuA6kLFpb3NvnRQeoiSd,2,7660898.825235
Dwgaka8QiSkFQ3bGXhZpmncM63DwhjK5zzQRiqt9WA8K,2,293022.851244
CbYf9QNrkVgNRCMTDiVdvzMqSzXh8AAgnrKAoTfEACdh,3,0
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,3,137.150188
4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,3,0.370933
8N3GDaZ2iwN65oxVatKTLPNooAVUJTbfiVJ1ahyqwjSk,3,0
CMfBovCEj8zQgZDSc8iQYYP9r8JMFsnTKED1W55d9ghy,4,0
8VSS8M6eSQyWieDyXPUar1nzNbJCeW98AjsPQB7D5XKi,4,857.793896
HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,4,352344.256711
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,4,0
J4Eawq9x3xtav4xqqfW1skurM8Jo7sKy6uiBjWzm8v7B,4,1282.504978
539m4mVWt6iduB6W8rDGPMarzNCMesuqY5eUTiiYHAgR,4,0
7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,5,148.309701
6U91aKa8pmMxkJwBCfPTmUEfZi6dHe7DcFq2ALvB2tbB,6,0.13556
9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,6,414014.023235
FWsW1xNtWscwNmKv6wVsU1iTzRN6wmmk3MjxRP5tT7hz,7,25167.870905
8sLbNZoA1cfnvMJLPfp98ZLAnFSYCFApfJKMbiXNLwxj,8,892647.034033
HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b,14,350622.659007
ATowQwFzdJBJ9VFSfoNKmuB8GiSeo8foM5vRriwmKmFB,1,0
Hx3yVF9YoxXXohQxYQWzBnMPMxSWXk6S2GzmcYJ3Bg1b,1,0.311164
HWVenXAnwmPwQoA6eMncEmXnvvPpVwUPLbyyaqjijfrz,1,0
CpoD6tWAsMDeyvVG2q2rD1JbDY6d4AujnvAn2NdrhZV2,1,0
9LyeKSccyuGNuLRpkg4PzDq6mizmY8VpcgYZJ5EXMUap,1,0
fEe1SXYGDYGY7c7ttEY2Jyffzotx12heiw8xdrctvi1,1,0
CvKXXfxq2YzgQ9V7PBfNCzFmRSrj1VX49tjAJqJy68AU,1,0
AtfwFfmzS5BQr5fe2cfSSm44XG1Ruqh9BvtXoXThGbd6,1,0
41b3h69PNTwnhhzVuiyi2AUsTegiSRhvpWrGg7ENaq1q,1,0
9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,1,0
6TYDxGmVxkBPBmEfnmLXx6jVff9LknsjRHqdTjVyZmG8,1,0
3NwGdGPBkwVMZAkJeBAqKz4CazrcCRMT8kuW4Fffcedg,2,233.699026
Enc6rB84ZwGxZU8aqAF41dRJxg3yesiJgD7uJFVhMraM,2,0
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,2,361.396023
HJuipW7pcVq6kPQWJ4hovubwcu3gg8Vd2hmkR5bHh1Vs,2,0
AxHocY4moH8roYQXMQWqoehtW5piMtTJQYmfL4wQ83D8,2,831849.578854
DJFoQN5yNVtoEhoXiKqmYFXowQcPJSvB3BAavEcdEi7s,2,0
HSffGqNGyhPUYGARknsou3jzSp5gYdmSVmfFX868coVa,2,1275.704677
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,2,120193.505846
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,2,2.870646
2vDMG2nZMYmoyMNiKTqkFQHc56WzxRtoGuNwfv9rNR26,2,5999.999998
4vfZvPv55fBKgWsyuagksWiF14kQWSHsjJhNAYhao2mX,2,0
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,2,0
A4EcAAczYcphoKhjX6Q8mA2hMHmygXpZeYSAM74Dmiap,2,8301.054888
7HkzG4LYyCJSrD3gopPQv3VVzQQKbHBZcm9fbjj5fuaH,2,0
8mKSndmE3GwvBjdizn7HqCJAMqr5GkGiTAHonovmo3Uk,2,0
7MBMPMEPHS4a9CnhLVyfF1HRPgHX4PE4izTifjWNNzHQ,2,3163.036294
GDrzVCH6SXYpKrsSR1xymJisgsAvKLWkhk5yKNXDxsvB,2,62506.248279
4naspcryb7VX6vdQVRt9hg852JfJL1LQuQ3oqteNZYPr,2,17548.823582
HRYEjwdo3bZ1TpXKWKcezqiwSV2Ywuh4LxMa2PzoCnG6,2,0
6LDKXn2hqEtdW1r9jH2ykv5j4y3n4EPt1ZHDn5iVZgck,2,0
HCfytQ49w6Dn9UhHCqjNYTZYQ6z5SwqmsyYYqW4EKDdA,2,0
6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,2,0
6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,2,0
CyrzGrL9U9x9FfqfQiTi7kWsvJ9mK97tGxtPF1AV8E8d,2,5557.339638
CHUBwcGSRBpdx19qtQKB8Foq5GuLLvpVmpCw7cvbLATn,2,5693.632752
8EzbUfvcRT1Q6RL462ekGkgqbxsPmwC5FMLQZhSPMjJ3,2,0
5C1k9yV7y4CjMnKv8eGYDgWND8P89Pdfj79Trk2qmfGo,2,1013607.825488
AqJ5JYNb7ApkJwvbuXxPnTtKeuizjvC1s2fkp382y9LC,2,0
22HUWiJaTNph96KQTKZVy2wg8KzfCems5nyW7E5H5J6w,2,101056.686773
6ZaWyb9PKP1ZGVsQcE9vjnGPCH6KiWE5XLUY7HdNEJ77,2,724996.815329
FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC,2,986683.744546
HbJTJZzhdxcgiojvJYE8pEHXu3XWF7sWWnya6y1i2Bi4,2,0
2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,3,0.128296
BQ72nSv9f3PRyRKCBnHLVrerrv37CYTHm5h3s9VSGQDV,3,0.001001
BWBHrYqfcjAh5dSiRwzPnY4656cApXVXmkeDmAfwBKQG,4,315724.983452
GGztQqQ6pCPaJQnNpXBgELr5cs3WwDakRbh1iEMzjgSJ,4,0.085
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,4,2.205213
WHTUPptqvi8BR9amvWuh3uBzZFssQQQas2ijb4H1MPN,4,0.606547
8UgoPZAR8ZLoEmV6pJ8SZ6JKESP2X8nbnrZSdSgNtg1y,7,0
1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,8,0.019809
7imnGYfCovXjMWKdbQvETFVMe72MQDX4S5zW4GFxMJME,11,752137.955641
CbYf9QNrkVgNRCMTDiVdvzMqSzXh8AAgnrKAoTfEACdh,12,0
77HHubUm3WbqPQofknBgPEAMUvPnTioT684M4pKcFWRk,1,0.001101
99gNdrvcBqtEcXWe5YTgzaRzL2VFCnp915Za4qUvjMiy,1,0.000688361
CVx615Q9Pj9Qbn9dPTwUvsmjQYvHwBHdLLxYXFoLSXqT,1,0.001603768
3t2wwxWpEURacjyPc9oixPWgAmBE3UimzTGojbYuBxf1,1,11.568543642
2f28GuGo7EyNvBzJrcfpv2CXXSkVeiBr1RAeXKUbXrGG,1,0.000882806
8MKqjVD3tZT96UNBL4NMdLqTWKr26jukKKQWFwj5QF1A,1,0.00148495
Epk7H3HgkR4PtMU2rCdA7FGBWxyuDCHc7BXa7HcFsXPv,1,0.000550087
8eCA7jAMHtxNzhCLFD1iLexURPDPxUroDWqQfh5CF7rL,1,0
HarDQosiTYjykEQzZuJbQdKHWVj6A3XhqKpihUJo4jj9,1,0
68fg6U9nUs7gGorKDosR7iRDrevx78d1JL7Aq2Y9tRVu,1,0
7hTckgnGnLQR6sdH7YkqFTAA7VwTfYFaZ6EhEsU3saCX,1,2403.207501389
EDkVja11B5nSaLs7fqbJ3uDeN8Vh8YxuKmcFkpHxiP5P,1,0
DUuTgXFbytZ95xjsJVxaEK1y7eSzsX439fZVsjzyMeLv,1,0
AcEc27WF69MhVfGn7gWsVbGo445SPqJ7HJW479LCQmnY,1,0
7VtfL8fvgNfhz17qKRMjzQEXgbdpnHHHQRh54R9jP2RJ,1,2028.684410475
BmtBrj9pD3cTLTjT9rcQgRKB5pfjbtTeJvphAFbe9sGR,1,0
3qzDJtHncLb9LXtrrdWm7fdXQo4UbUQ3GjEW643mxyFS,1,0
2zG58xosdYf8WGTjZ2EikWU2fX4GeofpH2KM4gUY4T8n,1,0.000696487
F1go47zgB3zdoAroKoDZcCHpakVGMyJRgpowJNTqV6eN,1,0
3hpPcpuVUuRF7HjzMT1bghe9GDa7n8XrCKkMZZhAS2QG,1,0.003713543
4CczKyjtKpzUBRyit7E4Xd5wSeTfJACJmnQPXeeRQ1gN,2,386.164398517
GsU3MxKxa8tnmzcD5otUM3P5CqoVZR7VtkVMeEKnGrNd,2,23.844014378
FUjWFehAiJShHFDQ9upcHD5FcAbBBH3B9coL1cxFpT5i,2,381.623045667
FWsW1xNtWscwNmKv6wVsU1iTzRN6wmmk3MjxRP5tT7hz,2,3113.130565575
BFTes3uDtw1DfUFwKubhLNBm5dcZZdsdt3oTEMUUky47,2,1.414209346
9b77Z33sUTmd3Z12Wadyq1uVmZYQfXPue3Uv6CxkkHoc,2,155.855902884
3ULaqezcMh9MK5dbNtjgoheGWxPbgqZfbzN5Z8X4VuBT,4,217.469421728
